contratacao,status_contratacao,unidade,objeto,fornecedor,cpf_cnpj,valor_estimado,valor_empenhado,valor_liquidado,valor_pago
2023004684,Ativo,UERJ - HOSPITAL UNIVERSITÁRIO - HOSPITAL UNIVERSITARIO PEDRO ERNESTO,Contratação direta a contratação por 06 seis meses de laboratório especialiado para prestação de serviço de apoio ao HUPE,INSTITUTO HERMES PARDINI S/A,19.378.769/0001-76,1082031,180338.5,,
2023004686,Em Aberto,FUNESPOM - FUNDO ESP. POLÍCIA MILITAR RJ,medicamentos,MEDKA HOSPITALAR EIRELI,36.958.637/0001-32,220,220,217.8,217.8
2023004687,Ativo,UERJ - HOSPITAL UNIVERSITÁRIO - HOSPITAL UNIVERSITARIO PEDRO ERNESTO,AQUISIÇÃO DO MEDICAMENTO OMEPRAZOL ID 18117,RALIC COMERCIO E DISTRIBUICAO LTDA,24.602.657/0001-97,3600,3600,3600,3600
2023004688,Em Aberto,FUNARJ - FUND ANITA MANTUANO DE ARTES DO EST DO RJ,Constitui objeto do presente Termo de Referência a contratação de prestação de serviço especialiado da Empresa Nitiren Produções Artísticas Ltda para curadoria artística do Projeto Cia FUNARJ de Teatro Arte e Repertório que detém a exclusividade do renomado ator e diretor Diogo Vilela para curso de especialiaçãoaperfeiçoamento em artes cênicas produção montagem e execução da obra O Pagador de Promessas12 A empresa Nitiren Produções Artísticas Ltda é detentora com exclusividade de autoriação para representação e execução da citada obra do consagrado autor e dramaturgo Dias Gomes13 O projeto consiste na realiação de 1 um curso de especialiaçãoaperfeiçoamento a ser realiado no Teatro Glaucio Gill para 15 alunos bolsistas no total selecionados através de Edital e a realiação de 1 uma montagem teatral considerando temporada no teatro Glaucio Gill e circulação nos teatros Armando Gonaga e Arthur Aevedo ,NITIREN PRODUCOES ARTISTICAS LTDA,05.777.210/0001-04,794000,794000,,
2023004689,Em Aberto,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,APARELHOS DE TELEVISÃO,VIA LUMEN`S AUDIO VIDEO E INFORMATICA LTDA,08.335.448/0001-78,17372,17372,,
2023004690,Em Aberto,UERJ - HOSPITAL UNIVERSITÁRIO - HOSPITAL UNIVERSITARIO PEDRO ERNESTO,Aquisição de 02 câmaras de conservação para o Serviço de Farmacia do Hospital Universitário Pedro Ernesto,INDREL - INDÚSTRIA DE REFRIGERAÇÃO LONDRINENSE LTDA,78.589.504/0001-86,35000,35000,,
2023004691,Em Aberto,INEA - INSTITUTO ESTADUAL DO AMBIENTE,Contratação da Empresa Brasileira de Correios e Telégrafos ECT para a prestação de serviços postais como cartas comerciais serviços de encomendas nacionais PAC AR SEDEX malote e telemáticos pelo período de 12 doe meses renováveis por iguais ou sucessivos períodos até o limite de 60 sessenta meses,EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS,34.028.316/0001-03,228000,114000,31095.65,31095.65
2023004692,Em Aberto,UERJ - HOSPITAL UNIVERSITÁRIO - HOSPITAL UNIVERSITARIO PEDRO ERNESTO,A aquisição de peças para videoendoscópios da UDA de Gastroenterologia do Hospital Universitário Pedro Ernesto,LABOR-MED APARELHAGEM DE PRECISAO LTDA,32.150.633/0004-15,112636.16,112636.16,111284.53,111284.53
2023004693,Em Aberto,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,EMPENHO,KONIMAGEM COMERCIAL LTDA,58.598.368/0001-83,1120,1120,1120,1120
2023004694,Ativo,FES - FUNDO ESTADUAL DE SAÚDE,Prorrogação do prao de vigência do Termo de Credenciamento n 0052021 por 12 doe meses a contar de 20052023 a 19052024 relativo ao credenciamento de pessoas jurídicas de direito privado para participação de forma complementar ao SUS para prestação de serviços privados de radioterapia a fim de atender aos usuários do Sistema Único de Saúde,COI CLÍNICAS ONCOLÓGICAS INTEGRADAS,39.086.160/0012-93,1537332,555147.67,397838,284466.29
2023004695,Ativo,UERJ - HOSPITAL UNIVERSITÁRIO - HOSPITAL UNIVERSITARIO PEDRO ERNESTO,aquisição por LICITAÇÃO de GRAMPEADORES LINEARES E CARGAS para o Hospital Universitário Pedro Ernesto,IDS MEDICAL IMPORTACAO/ DISTRIBUICAO E SERVICO EIRELI,32.416.864/0001-85,611928,262630,157557,75604.32
2023004696,Ativo,FUNESBOM - FUNDO ESPECIAL DO CORPO DE BOMBEIROS,Aquisição de medicamentos por meio de ATA SRP n 0742023 da Secretaria de Estado de Polícia Militar,LEMAN MEDICAMENTOS E CIA LTDA,40.600.760/0001-54,1944,1944,,
2023004697,Ativo,FUNESBOM - FUNDO ESPECIAL DO CORPO DE BOMBEIROS,Aquisição de medicamentos por meio de ATA SRP n 0702023 da Secretaria de Estado de Polícia Militar,SISPACK MEDICAL LTDA,54.565.478/0001-98,2916,2916,,
2023004698,Em Aberto,FUNESPOM - FUNDO ESP. POLÍCIA MILITAR RJ,Aquisição de material médico hospitalar ,HOLLISTER DO BRASIL LTDA,00.938.703/0001-65,3120,3120,3042,3042
2023004699,Ativo,FUNESBOM - FUNDO ESPECIAL DO CORPO DE BOMBEIROS,Aquisição de medicamentos por meio de ATA SRP n 00732023 da Secretaria de Estado de Polícia Militar,CCPMED DISTRIBUIDORA EIRELI ME,17.700.085/0001-13,726,726,726,726
2023004700,Ativo,FUNESBOM - FUNDO ESPECIAL DO CORPO DE BOMBEIROS,Aquisição de medicamentos por meio de ATA SRP n0692023 da Secretaria de Estado de Polícia Militar,HUNTER CIENTIFICA COMERCIAL E SERVIÇOS LTDA,00.304.559/0001-05,2507.4,2507.4,2507.4,2507.4
2023004701,Ativo,FLXIII - FUNDAÇÃO LEÃO XIII,Aquisição de café açúcar e adoçante para atender as necessidades da Fundação Leão XIII de acordo com as especificações e quantidades constantes do presente instrumento conforme regulamenta a Lei 8666 de 21 de junho de 1993 e o Decreto 466422019,NUDETRA DISTRIBUIDORA LTDA,03.254.982/0001-36,13996.91,13996.91,13996.91,13996.91
2023004702,Em Aberto,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,Contratação de empresa especialiada na prestação de serviços técnicos assistenciais a serem executados ns Unidade Hospital Estadual Carlos Chagas,ECO RIO COMERCIO E SERVIÇOS GERAIS LTDA,14.625.837/0001-30,7162954.5,2745799.22,2159304.26,1896199.18
2023004703,Em Aberto,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,EMPENHO,BOYNTON IMPORTAÇÃO E EXPORTAÇÃO LTDA,92.629.658/0001-85,59200,59200,59200,59200
2023004704,Em Aberto,UERJ - ADMINISTRACAO CENTRAL,Pagamento de bolsa,ASSOCIACAO DE ODONTOLOGIA DA UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO DYSTAL JUNIOR,48.374.796/0001-79,7000,7000,7000,7000
2023004705,Ativo,FES - FUNDO ESTADUAL DE SAÚDE,AQUISIÇAO DE MEDICAMENTO,ONCOVIT DISTRIBUIDORA DE MEDICAMENTOS LTDA ME (MATRIZ),10.586.940/0001-68,6373200,6373200,6296721.6,6296721.6
2023004706,Em Aberto,SEPM - Secretaria de Estado de Polícia Militar,AQUISIÇÃO DE LAVADORAS ULTRASSÔNICAS,QUICKBUM E COMMERCE EIRELI EPP,30.323.616/0001-64,55770,55770,,
2023004707,Em Aberto,UERJ - ADMINISTRACAO CENTRAL,PAGAMENTO DE EMPRESA JUNIOR,EMPRESA JÚNIOR DE CONSULTORIA E PLANEJAMENTO EM ENGENHARIA QUÍMICA,23.891.261/0001-44,7000,0,,
2023004708,Em Aberto,FUNESPOM - FUNDO ESP. POLÍCIA MILITAR RJ,MEDICAMENTOS,COMERCIAL CIRÚRGICA RIOCLARENSE LTDA,67.729.178/0002-20,19802.88,19802.88,19802.88,19802.88
2023004709,Ativo,FUNESBOM - FUNDO ESPECIAL DO CORPO DE BOMBEIROS,Aquisição de insumos descritos na tabela a seguir constantes da Ata de Registro de Preços n 0038202329420052 em anexo 53540023 e 53539683 referente ao Processo n SEI0800070103122022,LEMAN MEDICAMENTOS E CIA LTDA,40.600.760/0001-54,1314,1314,1314,1314
2023004710,Em Aberto,FUNESPOM - FUNDO ESP. POLÍCIA MILITAR RJ,MEDICAMENTOS,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA,44.734.671/0001-51,952.5,952.5,952.5,952.5
2023004711,Ativo,FES - FUNDO ESTADUAL DE SAÚDE,AQUISIÇÃO DE MEDICAMENTO,PRATI DONADUZZI & CIA. LTDA (MATRIZ),73.856.593/0001-66,623164.92,623164.92,623164.92,623164.92
2023004712,Ativo,SECC - Secretaria de Estado da Casa Civil (Antiga SEGOV),Solicitase a aquisição de camas tipo beliches para recompor os postos fixos da Operação FOCO de forma a garantir uma melhor valoriação dos profissionais ao proporcionar melhoria de condições de trabalho que reflete diretamente na dignidade desses seres humanos que se colocam muitas vees em situações de risco em prol do Estado e da própria sociedade,G-RIO COMERCIO E SERVIÇOS LTDA,27.707.061/0001-40,55307.67,55307.67,55307.67,55307.67
2023004713,Em Aberto,FUNESPOM - FUNDO ESP. POLÍCIA MILITAR RJ,MEDICAMENTOS,JRG DISTRIBUIDORA DE MEDICAMENTOS HOSPITALARES LTDA -,04.380.569/0001-80,2467.5,2467.5,2467.5,2467.5
2023004714,Ativo,FUNESBOM - FUNDO ESPECIAL DO CORPO DE BOMBEIROS,AQUISIÇÃO DE RINGERLACTATO SOLUCAO ESTERIL E APIROGENICA,FARMACE - INDÚSTRIA QUÍMICO FARMACÊUTICA CEARENSE LTDA,06.628.333/0001-46,92976,92976,92976,92976
2023004715,Em Aberto,UERJ - ADMINISTRACAO CENTRAL,Aquisição de 120 caixas de Resma de papel através do Almoxarifado virtual,BRS SP SUPRIMENTOS CORPORATIVOS S/A,03.746.938/0001-43,32844,0,,
2023004716,Ativo,FUNESBOM - FUNDO ESPECIAL DO CORPO DE BOMBEIROS,AQUISIÇÃO DE INSUMOS ,MEDKA HOSPITALAR EIRELI,36.958.637/0001-32,114684428,,,
2023004717,Em Aberto,FUNARJ - FUND ANITA MANTUANO DE ARTES DO EST DO RJ,A contratação da prestação de serviços artísticos para aplicação no projeto denominado FIM DE TARDE que tem por objetivo a retomada e o fortalecimento de ações culturais no Estado do Rio de Janeiro na figura da Fundação Anita Mantuano de Artes do Estado do Rio de Janeiro FUNARJ suspensas e paralisadas em virtude dos efeitos produidos pela pandemia do COVID19 mas que estão sendo retomadas gradativamente justificandose assim a continuidade de medidas públicas que visam o fomento de cultura no Estado do Rio de Janeiro,GOLD 120 PRODUCOES E EVENTOS EIRELI,07.025.989/0001-37,100000,100000,50000,50000
2023004718,Em Aberto,UERJ - ADMINISTRACAO CENTRAL,Contratação de empresa especialiada na prestação serviços de telecomunicações para fornecimento de link de internet dedicado de 100Mbps por 12 meses,GIGALINK DE NOVA FRIBURGO SOLUCOES EM REDE MULTIMIDIA LTDA,06.236.865/0001-38,10800,10800,,
2023004719,Ativo,FES - FUNDO ESTADUAL DE SAÚDE,AQUISIÇÃO DE ACESSÓRIOS COMPLEMENTARES PARA 135 ESTAÇÕES DE ANESTESIA - MARCA: COMEN - MODELO: AX-400 INSTALADAS NAS UNIDADES HOSPITALARES PERTENCENTES À SECRETARIA ESTADUAL DE SAÚDE DO RIO DE JANEIRO.,D&I COMÉRCIO DE EQUIPAMENTOS MÉDICOS LTDA.,18.552.169/0001-10,5827950,5827950,,
2023001546,Em Aberto,DER-RJ - FUND DEP ESTRADAS DE RODAGEM DO ESTADO DO RJ,EXECUÇÃO DE OBRAS DE ACESSO AO PARQUE DOS DINOSSAUROS/ RJ 125/ MIGUEL PEREIRA - RJ,MONTBLANC ENGENHARIA E CONSTRUÇÕES LTDA,34.652.366/0001-67,5151802.73,2500000,,
2023001547,Em Aberto,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,Contratação de serviço de limpea e desinfecção de superfícies emergencial visando mantercondições adequadas de salubridade e higiene com a disponibilidade de mão de obra fornecimento de materiais equipamentos incluindo manutenção de jardins dedetiação desratiação e descupiniação em todas as dependências das Unidades de saúde sob a gestão da Fundação SaúdeRJ,CONSERV IGUAÇU PRESTAÇÃO DE SERVIÇOS DE LIMPEZA LTDA,09.588.780/0001-07,7690091.88,5550691.17,,
2023001548,Ativo,UERJ - HOSPITAL UNIVERSITÁRIO - HOSPITAL UNIVERSITARIO PEDRO ERNESTO,aquisição/ por licitação/ de anel para plastia mitral/ prótese pulmonar/ bio-enxerto e hetero enxerto/ para o Hospital Universitário Pedro Ernesto.,CARDIOVENT COMERCIO E SERVICOS LTDA EPP,22.244.418/0001-87,150900,27500,,
2023001549,Ativo,UERJ - HOSPITAL UNIVERSITÁRIO - HOSPITAL UNIVERSITARIO PEDRO ERNESTO,aquisição/ por licitação/ de anel para plastia mitral/ prótese pulmonar/ bio-enxerto e hetero enxerto/ para o Hospital Universitário Pedro Ernesto.,LABCOR LABORATORIOS LTDA,19.336.924/0009-49,405600,215800,,
2023001550,Ativo,UERJ - HOSPITAL UNIVERSITÁRIO - HOSPITAL UNIVERSITARIO PEDRO ERNESTO,Aquisição de Saneantes para instrumental para o Hospital Universitário Pedro Ernesto,INDALABOR INDAIA LABORATORIO FARMACEUTICOLTDA(MATRIZ),04.654.861/0001-44,7605,3666,,
2023001551,Ativo,UERJ - HOSPITAL UNIVERSITÁRIO - HOSPITAL UNIVERSITARIO PEDRO ERNESTO,Aquisição de Saneantes para instrumental para o Hospital Universitário Pedro Ernesto,LEMARC PRODUTOS MÉDICOS HOSPITALARES LTDA-ME,09.300.300/0001-60,34479,10726.8,,
2023001552,Ativo,UERJ - HOSPITAL UNIVERSITÁRIO - HOSPITAL UNIVERSITARIO PEDRO ERNESTO,Aquisição de Saneantes para instrumental para o Hospital Universitário Pedro Ernesto,MEDICAL SUTURE COMERCIO DE MATERIAL HOSPITALAR LTDA,02.376.490/0001-50,1938.75,1938.75,,
2023001553,Em Aberto,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS GRÁFICOS PARA DIAGRAMAÇÃO FORMATAÇÃO E CONFECÇÃOEXECUÇÃO DE IMPRESSOS PADRONIZADOS A SEREM FORNECIDOS SOB DEMANDA PARA ATENDER ÀS NECESSIDADES DO SISTEMA DE ATENDIMENTO MÓVEL DE URGÊNCIA,GRAFICA E EDITORA MUNDO LTDA,28.419.352/0001-03,57720,38480,,
2023001554,Ativo,SEAP - SECRETARIA DE ESTADO DE ADMIN.PENITENCIÁRIA,AQUISIÇÃO DE ALIMENTAÇÃO PARA OS CÃES DO PLANTEL DO GRUPAMENTO DE OPERAÇÕES COM CÃES DA SEAPRJ,AUTARQUIA COMERCIO E SAUDE ANIMAL LTDA EPP,07.764.000/0001-07,72000,36000,,
2023001555,Ativo,FUNESBOM - FUNDO ESPECIAL DO CORPO DE BOMBEIROS,Tem por objeto a aquisição de Material de Consumo Odontológico referente ao ano de 2021/ para atender as necessidades dos usuários do sistema de saúde do CBMERJ nas unidades odontológicas subordinadas à Diretoria-Geral de Odontologia nas condições/ quantidades/ características e prazos definidos no TR.,WJM DENTAL LTDA,72.367.600/0001-01,26373.9,26373.9,26373.9,26373.9
2023001556,Em Aberto,UERJ - ADMINISTRACAO CENTRAL,AQUISIÇÃO DE AR CONDICIONADOS ,ECOLD CLIMAIZAÇÃO E SERVIÇOS DE ENGENHARIA LTDA ME,24.988.359/0001-87,17600,0,,
2023001557,Ativo,CENTRAL - COMP EST DE ENGENH DE TRANSPORTES E LOGÍSTICA,Atualizando a estrutura do  Site da (Central-RJ) / junto ao PRODERJ,PRODERJ - CENTRO DE TECNOLOGIA DE INFORMACAO E COMUNICACAO DO ESTADO DO RIO DE JANEIRO,30.121.578/0001-67,247999968,24800,24800,24800
2023001558,Em Aberto,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,aquisição de Arco Cirúrgico conforme descrição do item III deste TR para atender à demanda da Unidade Instituto Estadual de Hematologia Arthur de Siqueira Cavalcanti,SIEMENS HEALTHCARE DIAGNOSTICOS S.A.,01.449.930/0006-02,1188000,1188000,1188000,
2023001559,Em Aberto,UERJ - ADMINISTRACAO CENTRAL,COMPRA DE SERVIDORES DELL R550 E RACK PARA O CEPUERJ,A2M COMERCIO E SERVICOS EIRELI,33.764.824/0001-97,13618.99,13618.99,,
2023001560,Ativo,FES - FUNDO ESTADUAL DE SAÚDE,AQUISIÇÃO DE MEDICAMENTO,SULMEDIC COMERCIO DE MEDICAMENTOS LTDA FILIAL JUNDIAÍ,09.944.371/0003-68,1621.8,1621.8,1621.8,1621.8
2023001562,Ativo,FES - FUNDO ESTADUAL DE SAÚDE,AQUISIÇÃO DE MEDICAMENTO,NSA DISTRIBUIDORA DE MEDICAMENTOS EIRELLI,34.729.047/0001-02,1147.5,1147.5,,
2023001563,Ativo,EMATER-RIO - EMPR DE ASSIST TÉCN E EXT RURAL DO EST DO RJ,Referente ao pagamento as mensalidades da ASSOCIAÇÃO BRASILEIRA DAS ENTIDADES ESTADUAIS DE ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL,ASSOCIAÇÃO BRASILEIRA DAS ENTIDADES ESTADUAIS DE ASSISTENCIA TECNICA E EXTENSÃO RURAL,26.446.062/0001-15,54000,40500,13500,13500
2023001564,Em Aberto,INEA - INSTITUTO ESTADUAL DO AMBIENTE,Contratação de empresa especialiada para prestação continuada de serviços na emissão e fornecimento de cartões eletrônicosmagnéticos de vale transporte a serem utiliados servidores da Superintendência Regional Lagos São João SUPLAJ,SINDICATO DAS EMPRESAS DE TRANSPORTE DA COSTA DO SOL E REGIAO SERRANA,04.393.141/0001-72,3600,3600,,
2023001565,Ativo,FES - FUNDO ESTADUAL DE SAÚDE,AQUISIÇÃO DE MEDICAMENTO,ASTRAZENECA DO BRASIL LTDA.,60.318.797/0001-00,6129,54480,,
2023001566,Encerrado,DRM - DEPART RECURSOS MINERAIS ESTADO RJ,O presente Termo de Referência tem por objeto a prestação de serviços para ministrar curso de capacitação da nova lei de licitações e contratações públicas Lei Federal 141332021 com abrangência de 20 vinte participantes,RAFAEL OLIVEIRA ENSINO JURIDICO LTDA,17.163.168/0001-10,72000,72000,,
2023001567,Ativo,PESAGRO-RIO - EMPR DE PESQUISA AGROPECUÁRIA DO EST DO RJ,SERVIÇO DE FORNECIMENTO DE AGUA E TRATAMENTO DE ESGOTO,AGUAS DO RIO 1 SPE S.A,42.310.775/0001-03,6960,6960,,
2023001568,Em Aberto,FUNESPOM - FUNDO ESP. POLÍCIA MILITAR RJ,AQUISIÇÃO DE MATERIAL MÉDICO HOSPITALAR,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA,44.734.671/0001-51,94500,94500,,
2023001569,Em Aberto,FUNESPOM - FUNDO ESP. POLÍCIA MILITAR RJ,AQUISIÇÃO DE MATERIAL MÉDICO HOSPITALAR,ESSENCIAL RIO DISTRIBUIDORA DE PRODUTOS MEDICOS E HOSPITALARES LTDA,24.875.483/0001-36,8172,8172,8172,8172
2023001570,Em Aberto,DER-RJ - FUND DEP ESTRADAS DE RODAGEM DO ESTADO DO RJ,Contratação de Sistema de Controle de Processos UPO,PRODERJ - CENTRO DE TECNOLOGIA DE INFORMACAO E COMUNICACAO DO ESTADO DO RIO DE JANEIRO,30.121.578/0001-67,158222.62,,,
2023001571,Em Aberto,FUNESPOM - FUNDO ESP. POLÍCIA MILITAR RJ,AQUISIÇÃO DE MATERIAL MÉDICO HOSPITALAR,NOVA LINEA COMERCIO DE PRODUTOS FARMACEUTICOS EIRELI,32.350.180/0001-28,6120,6120,6120,
2023001572,Ativo,FES - FUNDO ESTADUAL DE SAÚDE,AQUISIÇÃO DE MEDICAMENTO ,ONCO PROD DIST. PROD. HOSPITALRES E ONCOLÓGICOS LTDA,04.307.650/0025-02,26194.44,26194.44,26194.44,26194.44
2023001573,Ativo,FIA - FUNDAÇÃO PARA A INFÂNCIA E ADOLESCÊNCIA,Fornecimento de energia elétrica,LIGHT SERVICOS DE ELETRICIDADE SA,60.444.437/0001-46,195000,174995.31,68879.59,68879.59
2023001574,Ativo,FES - FUNDO ESTADUAL DE SAÚDE,AQUISIÇÃO DE MEDICAMENTO ,LEMAN MEDICAMENTOS E CIA LTDA,40.600.760/0001-54,756,756,756,756
2023001575,Ativo,FIA - FUNDAÇÃO PARA A INFÂNCIA E ADOLESCÊNCIA,Serviço de fornecimento de água e coleta de esgoto,AGUAS DO RIO 1 SPE S.A,42.310.775/0001-03,42000,65938.01,34696.63,34696.63
2023001576,Em Aberto,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,empenho,DLW COMERCIAL DISTRIBUIDORA LTDA,45.992.528/0001-22,105981876,105981.88,,
2023001577,Em Aberto,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,empenho,ESSENCIAL RIO DISTRIBUIDORA DE PRODUTOS MEDICOS E HOSPITALARES LTDA,24.875.483/0001-36,113767.2,113767.2,,
2023001578,Ativo,FIA - FUNDAÇÃO PARA A INFÂNCIA E ADOLESCÊNCIA,Serviço de fornecimento de água e coleta de esgoto,AGUAS DO RIO 4 SPE S.A,42.644.220/0001-06,15000,32230.18,,
2023001579,Em Aberto,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,empenho,MARCK SERVIÇOS E DISTRIBUIÇÃO DE EQUIPAMENTOS DE SEGURANÇA EIRELI,37.119.089/0001-10,100359865,100359.87,,
2023001580,Em Aberto,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,empenho,PETINELI IMPORTADORA E DISTRIBUIDORA DE MATERIAL MEDICO HOSPITALAR LTDA - ME,74.913.278/0001-96,26649,26649,,
2023001581,Em Aberto,FUNESPOM - FUNDO ESP. POLÍCIA MILITAR RJ,Aquisição de filmes radiográficos,HOSPITALEX COMERCIO DISTRIBUIDOR E LOCAÇÃO DE MATERIAL HOSPITALAR LTDA - ME,24.963.254/0001-73,62320,62320,62320,62320
2023001582,Em Aberto,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,empenho,SEROPLAST INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES EIRELLI,23.596.733/0001-36,9004.65,9004.65,,
2023001583,Ativo,FIA - FUNDAÇÃO PARA A INFÂNCIA E ADOLESCÊNCIA,Serviço de fornecimento de água e coleta de esgoto,AGUAS DE NITEROI S/A,02.150.336/0001-66,63000,61754.27,24454.26,24454.26
2023001584,Em Aberto,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,EMPENHO,ESSENCIAL RIO DISTRIBUIDORA DE PRODUTOS MEDICOS E HOSPITALARES LTDA,24.875.483/0001-36,2083.2,2083.2,2083.2,2083.2
2023001585,Em Aberto,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,EMPENHO,MILLE COMERCIAL - EIRELI - ME,28.641.966/0001-27,79080,79080,79080,47448
2023001586,Em Aberto,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,EMPENHO,EXCELENCIA DO SABER DISTRIBUIDORA EDUCACIONAL LTDA,17.211.630/0001-08,62923.35,63553.35,,
2023001588,Em Aberto,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,EMPENHO,EP SUPRIMENTOS LTDA,34.144.836/0001-81,495880,495880,,
2023001589,Ativo,FIA - FUNDAÇÃO PARA A INFÂNCIA E ADOLESCÊNCIA,Fornecimento de energia elétrica para sede e unidades desta Fundação o presente administrativo será usado ao decorrer do ano de 2023,AMPLA ENERGIA E SERVIÇOS S/A,33.050.071/0001-58,128000,122584.59,26994.9,26994.9
2023001590,Em Aberto,SETUR - SECRETARIA DE TURISMO,Fornecimento de energia elétrica,LIGHT SERVICOS DE ELETRICIDADE SA,60.444.437/0001-46,90000,42570.25,9659.56,9659.56
2023001591,Em Aberto,UERJ - ADMINISTRACAO CENTRAL,atender a demanda do processo SEI2600070324452022,CANON MEDICAL SYSTEMS DO BRASIL,46.563.938/0014-35,2235000,100,,
2023001592,Ativo,CODIN - COMP DE DESENV INDUSTRIAL DO ESTADO DO RJ,CONTRATAÇÃO INSTITUIÇÃO DE ENSINO PARA MINISTRAR PÓSGRADUAÇÃO LATO SENSU EM DIREITO TRIBUTÁRIO AO EMPREGADO VICTOR HUGO MELO LAVINAS,FUNDAÇÃO GETULIO VARGAS ,33.641.663/0001-44,35300,,,
2023001593,Encerrado,DRM - DEPART RECURSOS MINERAIS ESTADO RJ,O presente TERMO DE REFERÊNCIA tem por objeto a prestação de serviços de planejamento organiação coordenação e execução dos serviços de coffee break para os dias de realiação do curso de capacitação da nova lei de licitações e contratações públicas Lei Federal 141332021 com abrangência de 20 vinte participantes conforme especificações constantes neste TERMO DE REFERÊNCIA,CARLOS DAMIAO DOS SANTOS COUTO 09436409702,22.431.561/0001-88,17501.65,17501.65,17501.65,17501.65
2023001594,Encerrado,DRM - DEPART RECURSOS MINERAIS ESTADO RJ, participação dos servidores MARIANA CRISTINA SANTIAGO OUCHANA ID N 5761310 Diretora de Administração e Finanças BRUNO SANTOS DA SILVA ID N 51225590 Coordenador de Finanças e KETLEEN DE ABREU PEREIRA TOLEDO ID N 51231085 Auxiliar de Gabinete da Assessoria de Planejamento dessa autarquia no 18 Congresso Brasileiro de Pregoeiros a ser realiado nos dias 28 a 31 de Março de 2023 em Fo do IguaçuPR,INSTITUTO NEGOCIOS PUBLICOS ESTUDOS E PESQUISA NA ADMNINISTRAÇÃO PUBLICA-INP-LTDA,10.498.974/0001-09,13500,13500,12669.75,12669.75
2023001595,Ativo,UENF - Univ Est do Norte Fluminense Darcy Rib,Aquisição de Material Switch cabo e SSD,A2M COMERCIO E SERVICOS EIRELI,33.764.824/0001-97,539657.35,539657.35,539657.35,539657.35
2023001596,Aguard. Liberação,UENF - Univ Est do Norte Fluminense Darcy Rib,Aquisição de Material Switch cabo e SSD,GDAI INDUSTRIA & COMERCIO ELETRONICOS EIRELI,32.084.616/0001-84,112500,112500,,
2023001597,Ativo,UERJ - HOSPITAL UNIVERSITÁRIO - HOSPITAL UNIVERSITARIO PEDRO ERNESTO,Aquisição de frascos de hemoculturas através de licitação para o Hospital Universitário Pedro Ernesto,ENZIPHARMA PRODUTOS MEDICOS E LABORATORIAIS LABORATORIAIS LTDA,02.314.108/0001-84,743376,462945.5,153205.5,153205.5
2023001598,Ativo,FUNESPOM - FUNDO ESP. POLÍCIA MILITAR RJ,Aquisição de equipamentos para consultório odontológico para o provimento das Unidades de Saúde Bucal da SEPM,ALLIAGE S/A INDÚSTRIAS MÉDICO ODONTOLÓGICA,55.979.736/0001-45,102000,102000,,
2023001599,Ativo,FES - FUNDO ESTADUAL DE SAÚDE,Prestação de serviços de locação de veículos de serviço e utilitários,CS BRASIL FROTAS S.A.,27.595.780/0001-16,1188106.92,126512.39,11532.38,
2023001600,Em Aberto,DPGE - DEFENSORIA PÚBLICA GERAL DO ESTADO,Trata se da contratação de 07 inscrições no IV Congresso Nacional das Defensoras Públicas e dos Defensores Públicos do Tribunal do Júri que acontecerá entre os dias 8 e 11 de novembro em Goiânia GO,PRIME ORGANIZAÇÃO E MONTAGENS DE EVENTO,26.534.468/0001-50,4900,,,
2023001601,Em Aberto,FUNARJ - FUND ANITA MANTUANO DE ARTES DO EST DO RJ,CONTRATAÇÃO DE MEMBRO PARA COMISSÃO DE AVALIAÇÃO DOS PROJETOS INSCRITOS NO EDITAL DE CONCURSO N 0012023 FUNARJ,BOCA PRODUCAO E COMUNICACAO LTDA,29.856.433/0001-25,4500,4500,,
